api_if6_1_11,api_if6_1_12,api_if6_1_8,api_if6_2_11,api_if6_2_15,api_if6_2_4,api_if6_2_5,api_if6_2_7,api_m16_1_10,api_m16_1_2__1,api_m16_1_5__1,api_m16_1_9__1,api_m16_2_11,api_m16_2_3,api_m16_2_4,api_m16_2_8,if6_1_1__1,if6_1_1__2,if6_1_2__1,if6_1_2__2,if6_1_2__3,if6_1_3__1,if6_1_3__2,if6_1_3__3,if6_1_3__4,if6_1_4__1,if6_1_4__2,if6_1_5__1,if6_1_5__2,if6_1_5__3,if6_1_5__4,if6_1_6__1,if6_1_6__2,if6_1_6__3,if6_2_0__1,if6_2_0__2_,if6_2_11__1,if6_2_11__2,if6_2_11__3,if6_2_11__4,if6_2_2__1,if6_2_2__2,if6_2_2__3,if6_2_20__1,if6_2_20__2,if6_2_20__3_,m16_1_1__1,m16_1_1__2,m16_1_1__3,m16_1_1__4,m16_1_13__1,m16_1_13__2,m16_1_13__3,m16_1_2__1,m16_1_2__2,m16_1_2__3,m16_1_3__1,m16_1_3__2,m16_1_3__3,m16_1_5__1,m16_1_5__2,m16_1_5__3,m16_1_6__1,m16_1_6__2,m16_1_6__3,m16_1_8__1,m16_1_8__2,m16_1_9__1,m16_1_9__2,m16_1_9__3,m16_2_10__1,m16_2_10__2,m16_2_10__3,m16_2_8__1,m16_2_8__2,m16_2_8__3
60,40,40,80,50,30,50,50,30,30,30,40,40,30,20,40,90,140,100,150,0,0,150,230,0,100,130,0,130,200,280,0,130,0,0,140,0,150,240,0,0,180,0,0,150,0,80,140,210,0,70,130,250,90,150,240,90,140,0,80,130,240,80,130,230,80,140,90,140,210,80,120,200,70,120,210
60,40,40,80,50,30,50,50,30,30,30,40,40,40,20,40,90,140,0,150,0,0,150,230,0,100,130,0,130,210,280,0,120,0,0,140,0,150,240,0,0,180,0,0,150,0,90,140,210,0,80,130,250,90,150,240,90,140,0,80,130,240,80,130,230,80,140,80,150,210,80,120,200,70,120,210
60,40,40,80,50,30,50,50,30,30,30,40,40,40,20,40,90,140,0,150,0,0,150,230,0,100,130,0,130,210,290,0,120,0,0,140,0,160,240,0,0,180,0,0,150,0,90,140,210,0,80,130,250,90,150,250,90,150,0,80,130,0,80,130,230,80,140,90,140,210,80,120,200,70,120,210
60,40,40,80,50,30,50,50,30,30,30,40,40,30,20,40,90,140,0,150,0,0,150,230,0,100,130,0,130,210,290,0,130,0,0,140,0,160,240,0,0,180,0,0,150,0,90,140,210,0,80,130,250,90,150,250,0,150,0,80,130,0,80,130,0,80,140,90,140,210,80,130,200,70,120,210
60,40,40,80,50,30,50,50,30,30,30,40,40,30,20,40,90,140,0,150,0,0,150,230,0,100,130,0,140,210,290,0,130,0,0,140,0,160,240,0,0,180,0,0,150,0,90,140,210,0,80,130,250,90,150,250,0,150,0,80,130,0,80,130,0,80,140,80,140,0,80,130,200,70,120,210
70,40,40,80,50,30,50,50,30,30,30,40,40,30,30,40,90,120,0,150,0,0,160,230,0,100,130,0,140,210,290,0,130,0,0,140,0,160,240,0,0,180,0,0,150,0,90,140,210,0,80,130,250,90,150,250,0,150,0,80,130,0,80,130,0,80,140,90,130,0,90,130,200,70,120,210
70,50,40,80,50,30,50,50,30,30,30,40,40,30,30,40,90,120,0,150,0,0,160,230,0,0,120,0,140,210,290,0,130,0,0,140,0,170,240,0,0,200,0,0,150,0,80,140,210,0,80,130,0,90,150,250,0,150,0,90,130,0,90,130,0,90,150,90,130,0,90,130,210,70,120,210
70,50,40,90,50,30,60,60,30,30,30,40,40,30,30,40,90,120,0,150,0,0,160,230,0,0,120,0,140,210,290,0,130,0,0,140,0,170,240,0,0,200,0,0,160,0,90,140,210,0,80,140,0,90,150,250,0,150,0,90,130,0,90,130,0,80,150,90,130,0,90,130,210,70,120,210
70,50,40,90,50,40,60,60,30,40,30,40,40,30,30,40,80,120,0,150,0,0,160,230,0,0,120,0,140,210,290,0,130,0,0,150,0,170,240,0,0,200,0,0,160,0,90,140,220,0,80,140,0,90,150,250,0,150,0,90,130,0,90,130,0,80,150,90,130,0,90,130,210,70,130,210
70,50,40,80,50,40,60,60,30,40,30,40,30,30,30,40,80,120,0,150,0,0,160,230,0,0,120,0,140,210,290,0,130,0,0,150,0,170,250,0,0,200,0,0,160,0,90,140,220,0,80,140,0,90,150,250,0,150,0,90,130,0,90,130,0,80,150,90,130,0,90,130,210,70,130,220
70,50,40,90,50,40,60,60,30,40,30,40,50,10,30,40,90,120,0,150,0,0,160,240,0,0,120,0,140,210,290,0,130,0,0,150,0,170,250,0,0,200,0,0,160,0,90,140,220,0,80,140,0,90,160,250,0,150,0,90,130,0,90,130,0,80,150,90,120,0,90,130,210,70,130,220
70,50,40,100,50,40,60,60,30,40,30,40,50,10,30,40,90,110,0,150,0,0,160,240,0,0,120,0,140,210,300,0,130,0,0,150,0,170,250,0,0,200,0,0,160,0,90,150,220,0,90,140,0,90,160,250,0,150,0,90,130,0,90,130,0,80,150,90,120,0,90,130,210,70,130,220
70,50,40,100,50,40,60,60,30,40,30,40,50,20,30,40,80,130,0,150,0,0,160,240,0,0,120,0,140,220,300,0,140,0,0,150,0,170,250,0,0,200,0,0,160,0,90,140,220,0,90,140,0,90,160,250,0,160,0,90,130,0,90,130,0,80,150,90,160,0,90,130,210,70,130,220
70,50,40,100,50,40,60,60,30,40,30,40,50,20,30,40,80,130,0,150,0,0,160,240,0,0,120,0,140,220,300,0,140,0,0,150,0,170,250,0,0,200,0,0,160,0,90,140,220,0,90,140,0,100,160,250,0,170,0,90,130,0,90,130,0,80,150,90,150,0,90,130,210,70,130,220
